spff,dzien,znak,qsos
SPFF-0001,20230521,sq9mdf/p,118
SPFF-0001,20220713,sp9wpn/p,8
SPFF-0001,20220625,sq9mdf/p,116
SPFF-0001,20201003,sq9mdf/p,33
SPFF-0001,20201002,sq9mdf/p,70
SPFF-0001,20161005,sq9kpk,41
SPFF-0001,20140920,sp9mry,15
SPFF-0001,20140920,sp9pgb/p,55
SPFF-0001,20120526,sp9yff/p,329
SPFF-0001,20110310,sq9niu/p,81
SPFF-0001,20110309,sq9niu/p,23
SPFF-0001,20110308,sq9niu/p,120
SPFF-0001,20101107,sp9ewm,101
SPFF-0001,20101106,sp9ewm,2
SPFF-0001,20101105,sp9ewm,6
SPFF-0001,20101104,sp9ewm,3
SPFF-0001,20101103,sp9ewm,4
SPFF-0001,20101102,sp9ewm,1
SPFF-0001,20101101,sp9ewm,5
SPFF-0001,20101031,sp9ewm,54
SPFF-0001,20101030,sp9ewm,24
SPFF-0001,20100915,sp9ewm,2
SPFF-0001,20100911,sp9ewm,3
SPFF-0001,20100909,sp9ewm,2
SPFF-0001,20100828,sq9niu/p,53
SPFF-0001,20100808,sq9niu/p,17
SPFF-0001,20100613,sp9ewm,9
SPFF-0001,20100531,sp9ewm,4
SPFF-0001,20100515,sp9ewm,5
SPFF-0001,20100514,sp9ewm,1
SPFF-0001,20100423,sp9ewm,20
SPFF-0001,20091008,sp9ewm,100
SPFF-0001,20091007,sp9ewm,75
SPFF-0001,20091006,sp9ewm,9
SPFF-0001,20091005,sp9ewm,6
SPFF-0001,20090802,sp9ewm,1
SPFF-0001,20090613,sp9ewm,1
SPFF-0002,20190505,sp5zim/p,56
SPFF-0002,20190504,sp5buj/p,54
SPFF-0002,20171231,sp5uud/p,120
SPFF-0002,20161205,sp9yff/8,258
SPFF-0002,20160604,sn0wff,339
SPFF-0002,20160203,sp5c/p,201
SPFF-0002,20120909,sp4wrz,62
SPFF-0002,20120831,sp4wrz,35
SPFF-0002,20120829,sp4wrz,14
SPFF-0002,20120826,sp4wrz,43
SPFF-0002,20120825,sp4wrz,9
SPFF-0002,20120805,sp4wrz,4
SPFF-0002,20120804,sp4wrz,9
SPFF-0002,20120731,sp4wrz,6
SPFF-0002,20120728,sp4wrz,9
SPFF-0002,20120722,sp4wrz,5
SPFF-0002,20120715,sp4wrz,23
SPFF-0002,20120714,sp4wrz,32
SPFF-0002,20120708,sp4wrz,10
SPFF-0002,20120707,sp4wrz,4
SPFF-0002,20120704,sp4wrz,3
SPFF-0002,20120616,sp4wrz,8
SPFF-0002,20120603,sp4wrz,1
SPFF-0002,20120527,sp4wrz,3
SPFF-0002,20120526,sp2qcs,39
SPFF-0002,20120525,sp2qcs,71
SPFF-0002,20091011,sn0wff,211
SPFF-0002,20091011,sp5x/4,2
SPFF-0002,20091010,sn0wff,1032
SPFF-0002,20091010,sp5x/4,98
SPFF-0002,20091009,sn0wff,1159
SPFF-0002,20091009,sp5x/4,1
SPFF-0002,20091008,sn0wff,441
SPFF-0003,20220726,sp1mvg,130
SPFF-0003,20220619,sp/ly2bis,65
SPFF-0003,20190613,sp2sv,95
SPFF-0003,20180415,sp9yff/4,52
SPFF-0003,20180415,sq4fdk/p,110
SPFF-0003,20180415,sq4jum/p,104
SPFF-0003,20151208,sp5zim/p,233
SPFF-0003,20140803,sp9yff/4,174
SPFF-0003,20120520,sp2qcs,104
SPFF-0003,20110727,sp1qxk/4,6
SPFF-0003,20110726,sp1qxk/4,113
SPFF-0003,20110725,sp1qxk/4,70
SPFF-0003,20110724,sp1qxk/4,65
